reason_id,event_id,source_row_id,reason_index,reason_raw,event_level,rejected_at,corrected_at,gap_days,Region,Nom Operateur Court,reason_clean,reason_model,reason_word_count,is_valid_reason,cluster_id,stable_theme,theme_assignment_method,needs_review,rejected_month
0,0,0,1,Document scanné illisible,N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,document scanne illisible,document scanne illisible,3,True,5,pieces_documents_scan,rule,False,2026-06
1,0,0,2,Absence d'audition du cédant (ou d'un référent qualifié) en cas d'achat ou don,N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,absence d'audition du cedant ou d'un referent qualifie en cas d'achat ou don,absence d'audition cedant d'un referent qualifie cas d'achat don,9,True,3,audition_enquete_historique,rule,False,2026-06
2,0,0,3,"Absence de contrat, déclaration ou de preuve d'achat pour une cession réalisée avant le 14 octobre 2019",N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,absence de contrat declaration ou de preuve d'achat pour une cession realisee avant le 14 octobre 2019,absence contrat declaration preuve d'achat cession realisee avant octobre,9,True,18,pieces_documents_scan,rule,False,2026-06
3,0,0,4,"Liste des servitudes insuffisamment renseignée (information manquante sur la nature, la localisation, le nom ou la caractérisation des détenteurs)",N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,liste des servitudes insuffisamment renseignee information_manquante sur la nature la localisation le nom ou la caracterisation des detenteurs,liste servitudes insuffisamment renseignee information_manquante nature localisation nom caracterisation detenteurs,10,True,19,servitude_route_piste,rule,False,2026-06
4,0,0,5,"Absence signature d'un voisin ou son représentant sur le PVCL, avec absence du formulaire de carence de participation du voisin limitrophe concerné",N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,absence signature d'un voisin ou son representant sur le pvcl avec absence du formulaire de carence de participation du voisin limitrophe concerne,absence signature d'un voisin representant pvcl absence formulaire carence participation voisin limitrophe concerne,13,True,6,pvcl_constat_limites,rule,False,2026-06
5,0,0,6,Incohérence entre les noms des voisins inscrits sur le PVCL (PV des constats de limites) et le plan,N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,incoherence entre les noms des voisins inscrits sur le pvcl pv des constats de limites et le plan,incoherence entre noms voisins inscrits pvcl pv constats limites plan,10,True,1,pvcl_constat_limites,rule,False,2026-06
6,0,0,7,"La qualité ""voisin"" des limitrophes sur la liste de présence du PVCL non mentionnée",N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,la qualite voisin des limitrophes sur la liste de presence du pvcl non mentionnee,qualite voisin limitrophes liste presence pvcl non mentionnee,8,True,6,pvcl_constat_limites,rule,False,2026-06
7,0,0,8,Indication de piste comme limite d'une parcelle (indication de route avec emprise n'est pas un motif de rejet),N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,indication de piste comme limite d'une parcelle indication de route avec emprise n'est pas un motif de rejet,indication piste comme limite d'une parcelle indication route emprise n'est pas motif,12,True,6,servitude_route_piste,rule,False,2026-06
8,0,0,9,préciser les noms et qualités des personnes que les signataires des PVCL représentent,N1,2026-06-08 15:19:00,2026-06-18 09:51:00,9.75,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,preciser les noms et qualites des personnes que les signataires des pvcl representent,preciser noms qualites personnes signataires pvcl representent,7,True,6,signature_absente_ou_incomplete,rule,False,2026-06
9,1,1,1,Identifier le voisin situé entre les Bornes B1 et B7,N1,2026-04-09 03:32:00,2026-06-18 09:51:00,70.25,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,identifier le voisin situe entre les bornes b1 et b7,identifier voisin situe entre bornes b1 b7,7,True,1,voisinage_limitrophes,rule,False,2026-04
10,1,1,2,La voisine Kanga Adjoua n’a pas signé le PVCL,N1,2026-04-09 03:32:00,2026-06-18 09:51:00,70.25,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,la voisine kanga adjoua n a signature_non_signee le pvcl,voisine kanga adjoua signature_non_signee pvcl,5,True,0,signature_absente_ou_incomplete,rule,False,2026-04
11,1,1,3,Revoir le po l’emplacement et orientation des amorces,N1,2026-04-09 03:32:00,2026-06-18 09:51:00,70.25,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,revoir le po l emplacement et orientation des amorces,revoir po emplacement orientation amorces,5,True,14,voisinage_limitrophes,rule,False,2026-04
